Target,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
AM-246,A,M,29.07142857,28,0,1,0.928571429,0,0.035714286,0,0,0.035714286,1.607142857,1.642857143,3.074074074,2.925925926,1.678571429,2.607142857,1.892857143,2.892857143,4.107142857,2.860465116,2.037037037,.,1.518518519,1.321428571,3.75,2.142857143,156,236,245,124.5,1151.5,51,60.5,55.75,165.5,163,164.25,649,516.5,461.5,476.5,458.5,18,378,374.5,3.5,184.5,416.5,443,429.75,373.5,361,0.563612679,1.256534366,0.963265306,0.108119844,0.339421613,0.048415111,0.400781589,0.32674772,0.160225792,0.318931828,0.373208858,132.5,0.448545376,1.89404323
AM-247,A,M,35.875,24,0,1,0.458333333,0,0.375,0.125,0.041666667,0,2.791666667,2.217391304,2.375,3.083333333,2.458333333,2.391304348,1.666666667,2.130434783,4.333333333,1.697674419,4.333333333,.,1.875,2,3.041666667,2.25,159,231.5,220.5,116.5,1115.5,47.5,46,46.75,156,152.5,154.25,605.5,530,469,456,470,14,340.5,336.5,4,190.5,393.5,396.5,395,354,367,0.542805917,1.14245283,1.049886621,0.104437472,0.303079417,0.041909458,0.420439265,0.303451367,0.170775437,0.323173465,0.3541013,75.5,0.475123263,1.956641816
AM-248,A,M,33.84615385,26,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.192307692,1.458333333,2.846153846,1.423076923,1.384615385,2.576923077,1.538461538,2.307692308,4.423076923,3.255813953,1.692307692,.,1.538461538,1.92,3.538461538,2.230769231,147.5,281,282,107.5,1173.5,55,43,49,166,164.5,165.25,634.5,508,492,472,482,10,407,384,23,179,426.5,429.5,428,356,369,0.540690243,1.249015748,0.996453901,0.091606306,0.296520424,0.041755432,0.419258628,0.337025991,0.152535151,0.308904985,0.36472092,126.5,0.432893055,1.831237032
AM-249,A,M,23.66666667,24,0.041666667,0.958333333,0.875,0,0.041666667,0.083333333,0,0,1.333333333,2.375,2.541666667,2.833333333,1.958333333,2.833333333,1.791666667,1.541666667,3.583333333,3.069767442,2.25,.,1.458333333,2.166666667,2.541666667,2.333333333,157,234,239,118,1091.5,62,56.5,59.25,155.5,161,158.25,635.5,521.5,435.5,451.5,438,13.5,328,328.5,0.5,215.5,438.5,400.5,419.5,361,343,0.582226294,1.218600192,0.979079498,0.108108108,0.374407583,0.054283097,0.398992213,0.300732936,0.197434723,0.322491984,0.384333486,114,0.477782868,2.023309798
AM-250,A,M,25.88461538,26,0,1,0.846153846,0,0.076923077,0.038461538,0,0.038461538,2.153846154,2.730769231,3.076923077,2.64,2.423076923,2.807692308,2.038461538,2.461538462,4.52,2.209302326,2.461538462,.,1.92,2.307692308,3.384615385,2.16,165,217.5,216,121,1126,47.5,44,45.75,142.5,145,143.75,616.5,497.5,443.5,435,451,16,338.5,336.5,2,219.5,434.5,442,438.25,329.5,342,0.547513321,1.23919598,1.006944444,0.107460036,0.31826087,0.040630551,0.393872114,0.29973357,0.194937833,0.298179396,0.389209591,119,0.441829485,2.09328125
AM-251,A,M,28.65384615,26,0.038461538,0.961538462,0.961538462,0,0,0.038461538,0,0,1.5,4.038461538,2.461538462,1.576923077,2.846153846,3.346153846,1.153846154,1.538461538,4.88,3.627906977,2.038461538,.,1.16,3.192307692,2.961538462,2,143,237.5,253,158,1158,39.5,37,38.25,140,137.5,138.75,610,520,466.5,456.5,457.5,1,376.5,370.5,6,176,439.5,472,455.75,367.5,381,0.526770294,1.173076923,0.938735178,0.136442142,0.275675676,0.033031088,0.402849741,0.32253886,0.151986183,0.323186528,0.393566494,90,0.449050086,1.944714588
AM-252,A,M,23.32,25,0,1,0.8,0,0,0.2,0,0,1.76,2.08,2.64,2.4,1.72,2.84,1.92,1.76,3.48,3.441860465,2.4,.,1.56,2.16,3.48,2.2,151,231.5,246,150,1047,55.5,53.5,54.5,160.5,154,157.25,599,491.5,374.5,392,372.5,19.5,333.5,346.5,13,161.5,412,417,414.5,291.5,280.5,0.572110793,1.21871821,0.941056911,0.143266476,0.346581876,0.052053486,0.357688634,0.324737345,0.154250239,0.273161414,0.395893028,107.5,0.469436485,1.956620266
AM-253,A,M,25.03448276,29,0,1,0.620689655,0,0.206896552,0.137931034,0,0.034482759,1.689655172,2.068965517,3.862068966,2.655172414,1.448275862,2.827586207,1.586206897,3.035714286,4.344827586,2.534883721,1.535714286,.,1.5,1.896551724,3.827586207,2.137931034,141,268.5,247.5,113,1179,48.5,59.5,54,148,162,155,621,492.5,465,447.5,444,3.5,400.5,390,10.5,218,474,484.5,479.25,353,352.5,0.526717557,1.260913706,1.084848485,0.095843936,0.348387097,0.045801527,0.394402036,0.33524173,0.18490246,0.299194232,0.40648855,128.5,0.417726887,1.863885933
BF-001,B,F,28.49438202,89,1,0,0,1,0,0,0,0,2.078651685,2.348314607,2.730337079,2.539325843,2.056179775,2,3.887640449,2.258426966,2.606741573,3.953488372,2.629213483,4.115384615,1.550561798,2,3.685393258,2.247191011,114.5,238.5,230.5,150,1085.5,50.5,53,51.75,146.5,145,145.75,681.5,588,450,463,468.5,5.5,325,318.5,6.5,193.5,466,458.5,462.25,340.5,350,0.627821281,1.159013605,1.034707158,0.138185168,0.355060034,0.047673883,0.414555504,0.296407186,0.178258867,0.318056195,0.425840626,0.086135421,0.541685859,2.04
BF-002,B,F,21.34408602,93,1,0,0,0.978494624,0,0.010752688,0.010752688,0,1.827956989,2.150537634,4.892473118,2.630434783,1.795698925,2.148148148,5.397849462,2.827956989,1.559139785,3.756756757,2.376344086,4.653846154,1.559139785,1.76344086,4.021978022,2.129032258,104,238.5,247,145.5,1016,59.5,56,57.75,145,142.5,143.75,621,487.5,405,393.5,370.5,23,335.5,328,7.5,150.5,452.5,451,451.75,279,303.5,0.611220472,1.273846154,0.965587045,0.143208661,0.40173913,0.056840551,0.398622047,0.326525591,0.148129921,0.286663386,0.444635827,0.131397638,0.479822835,1.83
