file_name,file_top,file_bottom,combination,sal_x_twitter,sal_y_twitter,top_left_x_twitter,top_left_y_twitter,crop_width_twitter,crop_height_twitter,confidence_google,importance_fraction_google,top_left_x_google,top_left_y_google,top_right_x_google,top_right_y_google,bottom_right_x_google,bottom_right_y_google,bottom_left_x_google,bottom_left_y_google,survived_google,survived_member_google,crop_width_google,crop_height_google,confidence_apple,sal_x_apple,sal_y_apple,top_left_x_apple,top_left_y_apple,crop_width_apple,crop_height_apple
WMWF_image_360.png,CFD-WF-015-006-N.jpg,CFD-WM-247-084-N.jpg,WMWF,375,2475,0,2312,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.58015877,287.0,2624.0,134.34903395175934,5.924820899963379,300.3048998117447,2994.075179100037
WMWF_image_361.png,CFD-WF-211-001-N.jpg,CFD-WM-020-001-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.6202984,295.0,418.0,120.29523834586143,130.95653057098392,314.45837438106537,2866.5060997009277
WMWF_image_362.png,CFD-WF-241-210-N.jpg,CFD-WM-253-119-N.jpg,WMWF,375,2475,0,2312,583,326,0.3639772236347199,0.10310881584882736,0,750,550,750,550,1059,0,1059,WF,top,551,310,0.49993914,287.0,2624.0,153.19720178842545,1341.0494327545164,273.72673869133,1656.4900875091555
WMWF_image_363.png,CFD-WF-214-122-N.jpg,CFD-WM-206-045-N.jpg,WMWF,225,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5778601999999999,287.0,2624.0,124.1195433139801,0.0,313.0308645963669,2999.869465827942
WMWF_image_364.png,CFD-WF-239-155-N.jpg,CFD-WM-015-002-N.jpg,WMWF,375,525,0,362,583,326,0.375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5422163000000001,287.0,2624.0,168.17489993572238,34.17456150054932,259.1077944636345,2653.728604316712
WMWF_image_365.png,CFD-WF-249-126-N.jpg,CFD-WM-013-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,1336,582,1336,582,1663,0,1663,middle,middle,583,328,0.5943991999999999,295.0,418.0,150.6046800017357,0.0,289.0224643349648,2999.7754096984863
WMWF_image_366.png,CFD-WF-201-156-N.jpg,CFD-WM-021-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.6155735999999999,287.0,2624.0,143.4831332266331,2.8592348098754883,307.686251282692,2997.1407651901245
WMWF_image_367.png,CFD-WF-021-002-N.jpg,CFD-WM-227-099-N.jpg,WMWF,375,2475,0,2312,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.6147720999999999,295.0,418.0,135.44088955223557,8.94927978515625,312.6226273775102,2991.0507202148438
WMWF_image_368.png,CFD-WF-210-086-N.jpg,CFD-WM-018-002-N.jpg,WMWF,375,375,0,212,583,326,0.34567639231681824,0.10856759548187256,0,2400,579,2400,579,2725,0,2725,WM,bottom,580,326,0.5424437,287.0,2624.0,135.42893572151658,0.0,324.59028840064997,3000.0
WMWF_image_369.png,CFD-WF-201-156-N.jpg,CFD-WM-026-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.59919924,296.0,2624.0,150.21331366896632,4.055857658386231,298.4538630247116,2995.9441423416138
